Experiment 1:
--------------------BST first() with sorted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
30000	1326E0	|	8916E-2		4420E-5		2972E-6		1473E-9		7224E-10
40000	4530E-1	|	2963E-2		1132E-5		7408E-7		2831E-10		6543E-10
50000	5640E-1	|	3613E-2		1128E-5		7226E-7		-3142E-10		-7745E-10
60000	5320E-1	|	3352E-2		8867E-6		5586E-7		-7655E-10		2956E-10
70000	5520E-1	|	3430E-2		7886E-6		4899E-7		9123E-10		-1440E-9
80000	5920E-1	|	3635E-2		7400E-6		4543E-7		2812E-10		4760E-10
90000	5680E-1	|	3451E-2		6311E-6		3835E-7		-1159E-9		-2870E-10
100000	6510E-1	|	3919E-2		6510E-6		3919E-7		4617E-10		-4254E-10
110000	7300E-1	|	4359E-2		6636E-6		3963E-7		-9301E-10		-4112E-10
120000	6470E-1	|	3835E-2		5392E-6		3196E-7		4270E-10		4277E-10
130000	8600E-1	|	5062E-2		6615E-6		3894E-7		-3073E-9		-2638E-9
140000	7730E-1	|	4522E-2		5521E-6		3230E-7		-4123E-10		6289E-10
150000	6900E-1	|	4013E-2		4600E-6		2675E-7		6731E-10		3804E-10
160000	6980E-1	|	4038E-2		4363E-6		2523E-7		-4111E-9		5136E-10
170000	7020E-1	|	4040E-2		4129E-6		2377E-7		-6027E-10		-3425E-9
180000	8440E-1	|	4835E-2		4689E-6		2686E-7		-4307E-10		6262E-10
190000	7490E-1	|	4271E-2		3942E-6		2248E-7		4304E-10		4532E-10
200000	8560E-1	|	4861E-2		4280E-6		2430E-7		6363E-10		1336E-9

Experiment 5:
--------------------TreeSet last() with permuted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	1046E0	|	7872E-2		1046E-4		7872E-6		1046E-8		-1438E-9
20000	1152E0	|	8063E-2		5760E-5		4031E-6		2880E-9		-7559E-10
30000	1219E0	|	8196E-2		4063E-5		2732E-6		1354E-9		6641E-10
40000	3190E-1	|	2087E-2		7975E-6		5217E-7		1994E-10		4608E-10
50000	4650E-1	|	2979E-2		9300E-6		5958E-7		-2591E-10		-6386E-10
60000	4610E-1	|	2904E-2		7683E-6		4841E-7		-6633E-10		2562E-10
70000	6270E-1	|	3896E-2		8957E-6		5565E-7		1036E-9		-1636E-9
80000	8360E-1	|	5133E-2		1045E-5		6416E-7		3971E-10		6722E-10
90000	5640E-1	|	3427E-2		6267E-6		3808E-7		-1151E-9		-2850E-10
100000	6470E-1	|	3895E-2		6470E-6		3895E-7		4588E-10		-4227E-10
110000	7300E-1	|	4359E-2		6636E-6		3963E-7		-9301E-10		-4112E-10
120000	8800E-1	|	5216E-2		7333E-6		4346E-7		5808E-10		5817E-10
130000	8880E-1	|	5227E-2		6831E-6		4021E-7		-3173E-9		-2724E-9
140000	7730E-1	|	4522E-2		5521E-6		3230E-7		-4123E-10		6289E-10
150000	7530E-1	|	4379E-2		5020E-6		2920E-7		7345E-10		4151E-10
160000	7610E-1	|	4402E-2		4756E-6		2751E-7		-4482E-9		5600E-10
170000	7730E-1	|	4449E-2		4547E-6		2617E-7		-6636E-10		-3771E-9
180000	8880E-1	|	5087E-2		4933E-6		2826E-7		-4531E-10		6589E-10
190000	7690E-1	|	4385E-2		4047E-6		2308E-7		4419E-10		4653E-10
200000	8170E-1	|	4640E-2		4085E-6		2320E-7		6073E-10		1275E-9

Experiment 6:
--------------------TreeSet add(mid) with permuted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	1109E0	|	8346E-2		1109E-4		8346E-6		1109E-8		-1525E-9
20000	5280E-1	|	3695E-2		2640E-5		1848E-6		1320E-9		-3464E-10
30000	5840E-1	|	3927E-2		1947E-5		1309E-6		6489E-10		3182E-10
40000	3270E-1	|	2139E-2		8175E-6		5347E-7		2044E-10		4723E-10
50000	3110E-1	|	1992E-2		6220E-6		3985E-7		-1733E-10		-4271E-10
60000	3860E-1	|	2432E-2		6433E-6		4053E-7		-5554E-10		2145E-10
70000	4340E-1	|	2696E-2		6200E-6		3852E-7		7173E-10		-1132E-9
80000	4530E-1	|	2781E-2		5662E-6		3477E-7		2152E-10		3643E-10
90000	5210E-1	|	3166E-2		5789E-6		3517E-7		-1063E-9		-2633E-10
100000	5880E-1	|	3540E-2		5880E-6		3540E-7		4170E-10		-3842E-10
110000	9820E-1	|	5864E-2		8927E-6		5331E-7		-1251E-9		-5532E-10
120000	5960E-1	|	3532E-2		4967E-6		2944E-7		3934E-10		3940E-10
130000	6430E-1	|	3785E-2		4946E-6		2912E-7		-2298E-9		-1973E-9
140000	5800E-1	|	3393E-2		4143E-6		2423E-7		-3094E-10		4719E-10
150000	5840E-1	|	3396E-2		3893E-6		2264E-7		5697E-10		3220E-10
160000	7810E-1	|	4518E-2		4881E-6		2824E-7		-4599E-9		5747E-10
170000	6230E-1	|	3586E-2		3665E-6		2109E-7		-5349E-10		-3039E-9
180000	6900E-1	|	3952E-2		3833E-6		2196E-7		-3521E-10		5120E-10
190000	7650E-1	|	4363E-2		4026E-6		2296E-7		4396E-10		4629E-10
200000	7420E-1	|	4214E-2		3710E-6		2107E-7		5516E-10		1158E-9
